Fecha_hecho,Conducta,Codigo_comuna,Cantidad_casos
2003-01,Extorsión,SIN DATO,23
2003-02,Extorsión,SIN DATO,15
2003-03,Extorsión,SIN DATO,9
2003-04,Extorsión,SIN DATO,11
2003-05,Extorsión,SIN DATO,9
2003-06,Extorsión,SIN DATO,7
2003-07,Extorsión,SIN DATO,12
2003-08,Extorsión,3,1
2003-08,Extorsión,SIN DATO,11
2003-09,Extorsión,SIN DATO,7
2003-10,Extorsión,SIN DATO,11
2003-11,Extorsión,SIN DATO,17
2003-12,Extorsión,SIN DATO,11
2004-01,Extorsión,SIN DATO,15
2004-02,Extorsión,SIN DATO,12
2004-03,Extorsión,10,1
2004-03,Extorsión,8,1
2004-03,Extorsión,SIN DATO,6
2004-04,Extorsión,SIN DATO,14
2004-05,Extorsión,SIN DATO,7
2004-06,Extorsión,SIN DATO,7
2004-07,Extorsión,SIN DATO,7
2004-08,Extorsión,SIN DATO,12
2004-09,Extorsión,13,1
2004-09,Extorsión,16,2
2004-09,Extorsión,SIN DATO,6
2004-10,Extorsión,10,1
2004-10,Extorsión,4,1
2004-10,Extorsión,SIN DATO,3
2004-11,Extorsión,SIN DATO,6
2004-12,Extorsión,SIN DATO,3
2005-01,Extorsión,10,2
2005-01,Extorsión,SIN DATO,3
2005-02,Extorsión,1,1
2005-02,Extorsión,SIN DATO,4
2005-03,Extorsión,1,1
2005-03,Extorsión,10,1
2005-03,Extorsión,2,1
2005-03,Extorsión,7,1
2005-03,Extorsión,SIN DATO,4
2005-04,Extorsión,10,1
2005-04,Extorsión,12,1
2005-05,Extorsión,11,1
2005-05,Extorsión,SIN DATO,4
2005-06,Extorsión,SIN DATO,3
2005-07,Extorsión,SIN DATO,12
2005-08,Extorsión,12,1
2005-08,Extorsión,SIN DATO,4
2005-09,Extorsión,SIN DATO,3
2005-10,Extorsión,2,1
2005-10,Extorsión,SIN DATO,4
2005-11,Extorsión,SIN DATO,5
2005-12,Extorsión,SIN DATO,10
2006-01,Extorsión,SIN DATO,1
2006-02,Extorsión,8,1
2006-02,Extorsión,SIN DATO,4
2006-03,Extorsión,13,1
2006-03,Extorsión,SIN DATO,9
2006-04,Extorsión,60,1
2006-04,Extorsión,SIN DATO,5
2006-05,Extorsión,10,1
2006-05,Extorsión,4,1
2006-05,Extorsión,SIN DATO,7
2006-06,Extorsión,SIN DATO,4
2006-07,Extorsión,14,1
2006-07,Extorsión,6,1
2006-07,Extorsión,SIN DATO,6
2006-08,Extorsión,1,1
2006-08,Extorsión,8,1
2006-08,Extorsión,SIN DATO,2
2006-09,Extorsión,14,1
2006-09,Extorsión,4,1
2006-09,Extorsión,SIN DATO,2
2006-10,Extorsión,11,1
2006-10,Extorsión,SIN DATO,3
2006-11,Extorsión,SIN DATO,2
2006-12,Extorsión,SIN DATO,5
2007-01,Extorsión,10,2
2007-01,Extorsión,14,1
2007-01,Extorsión,2,1
2007-01,Extorsión,5,1
2007-01,Extorsión,SIN DATO,1
2007-03,Extorsión,14,1
2007-03,Extorsión,16,1
2007-03,Extorsión,SIN DATO,1
2007-04,Extorsión,10,1
2007-04,Extorsión,12,1
2007-04,Extorsión,14,1
2007-04,Extorsión,15,1
2007-04,Extorsión,2,1
2007-04,Extorsión,5,1
2007-05,Extorsión,10,1
2007-05,Extorsión,11,1
2007-05,Extorsión,14,1
2007-05,Extorsión,15,1
2007-05,Extorsión,16,1
2007-05,Extorsión,60,1
2007-06,Extorsión,11,1
2007-06,Extorsión,14,1
2007-06,Extorsión,4,1
2007-06,Extorsión,SIN DATO,1
2007-07,Extorsión,10,1
2007-07,Extorsión,13,1
2007-08,Extorsión,10,2
2007-08,Extorsión,11,1
2007-08,Extorsión,12,1
2007-08,Extorsión,14,1
2007-08,Extorsión,SIN DATO,1
2007-09,Extorsión,11,3
2007-09,Extorsión,13,1
2007-09,Extorsión,15,1
2007-09,Extorsión,6,1
2007-09,Extorsión,8,1
2007-09,Extorsión,SIN DATO,1
2007-10,Extorsión,11,1
2007-10,Extorsión,16,1
2007-10,Extorsión,7,1
2007-10,Extorsión,SIN DATO,1
2007-12,Extorsión,12,1
2007-12,Extorsión,4,1
2007-12,Extorsión,SIN DATO,3
2008-01,Extorsión,10,1
2008-01,Extorsión,15,1
2008-01,Extorsión,8,1
2008-02,Extorsión,4,1
2008-02,Extorsión,6,1
2008-02,Extorsión,9,2
2008-03,Extorsión,11,1
2008-03,Extorsión,13,1
2008-03,Extorsión,14,1
2008-03,Extorsión,SIN DATO,1
2008-04,Extorsión,10,1
2008-04,Extorsión,13,1
2008-04,Extorsión,16,1
2008-05,Extorsión,10,1
2008-05,Extorsión,13,1
2008-05,Extorsión,4,1
2008-05,Extorsión,SIN DATO,1
2008-06,Extorsión,11,2
2008-07,Extorsión,11,2
2008-07,Extorsión,12,1
2008-07,Extorsión,14,2
2008-07,Extorsión,7,1
2008-07,Extorsión,8,1
2008-08,Extorsión,10,1
2008-08,Extorsión,12,1
2008-08,Extorsión,3,1
2008-08,Extorsión,7,1
2008-08,Extorsión,8,1
2008-09,Extorsión,14,1
2008-09,Extorsión,7,1
2008-10,Extorsión,11,1
2008-10,Extorsión,5,1
2008-11,Extorsión,16,1
2008-11,Extorsión,4,1
2008-12,Extorsión,16,2
2008-12,Extorsión,6,1
2008-12,Extorsión,60,1
2009-01,Extorsión,10,3
2009-01,Extorsión,11,1
2009-01,Extorsión,13,1
2009-01,Extorsión,16,1
2009-01,Extorsión,50,1
2009-01,Extorsión,7,1
2009-01,Extorsión,SIN DATO,2
2009-02,Extorsión,10,1
2009-02,Extorsión,16,1
2009-02,Extorsión,4,1
2009-02,Extorsión,6,1
2009-02,Extorsión,8,1
2009-02,Extorsión,80,1
2009-02,Extorsión,SIN DATO,5
2009-03,Extorsión,10,1
2009-03,Extorsión,11,1
2009-03,Extorsión,14,1
2009-03,Extorsión,16,1
2009-03,Extorsión,7,1
2009-03,Extorsión,SIN DATO,11
2009-04,Extorsión,10,1
2009-04,Extorsión,14,1
2009-04,Extorsión,7,2
2009-04,Extorsión,9,1
2009-04,Extorsión,SIN DATO,3
2009-05,Extorsión,11,2
2009-05,Extorsión,13,1
2009-05,Extorsión,15,1
2009-05,Extorsión,16,1
2009-05,Extorsión,4,1
2009-05,Extorsión,6,1
2009-05,Extorsión,SIN DATO,4
2009-06,Extorsión,SIN DATO,5
2009-07,Extorsión,13,1
2009-07,Extorsión,16,1
2009-07,Extorsión,6,1
2009-07,Extorsión,SIN DATO,7
2009-08,Extorsión,14,2
2009-08,Extorsión,5,1
2009-08,Extorsión,SIN DATO,2
2009-09,Extorsión,1,1
2009-09,Extorsión,10,1
2009-09,Extorsión,12,2
2009-09,Extorsión,14,1
2009-09,Extorsión,16,1
